Date,Resolution,Total Units,Negative Units,Negative Hours,Negative %,Min Price,Max Price,Avg Price,Period Count
2026-01-01,quarter_hourly,96,10,2.5,10.42,-0.01,63.64,9.75,3
2026-01-02,quarter_hourly,96,0,0,0.0,0.0,94.95,54.69,0
2026-01-03,quarter_hourly,96,0,0,0.0,72.55,112.8,88.67,0
2026-01-04,quarter_hourly,96,0,0,0.0,82.19,123.5,94.44,0
2026-01-05,quarter_hourly,96,0,0,0.0,82.58,244.39,134.41,0
2026-01-06,quarter_hourly,96,0,0,0.0,84.21,189.91,127.42,0
2026-01-07,quarter_hourly,96,0,0,0.0,80.29,131.57,99.4,0
2026-01-08,quarter_hourly,96,0,0,0.0,68.55,300.05,154.12,0
2026-01-09,quarter_hourly,96,0,0,0.0,45.81,98.93,78.7,0
2026-01-10,quarter_hourly,96,0,0,0.0,65.52,143.57,97.56,0
2026-01-11,quarter_hourly,96,0,0,0.0,80.93,120.64,95.78,0
2026-01-12,quarter_hourly,96,0,0,0.0,75.3,140.09,104.35,0
2026-01-13,quarter_hourly,96,0,0,0.0,74.01,153.99,105.71,0
2026-01-14,quarter_hourly,96,0,0,0.0,82.57,224.16,118.14,0
2026-01-15,quarter_hourly,96,0,0,0.0,68.6,154.92,101.46,0
2026-01-16,quarter_hourly,96,0,0,0.0,66.76,209.97,109.73,0
2026-01-17,quarter_hourly,96,0,0,0.0,92.11,145.61,112.26,0
2026-01-18,quarter_hourly,96,0,0,0.0,96.13,146.2,109.37,0
2026-01-19,quarter_hourly,96,0,0,0.0,97.7,218.25,139.99,0
2026-01-20,quarter_hourly,96,0,0,0.0,98.14,358.85,156.17,0
2026-01-21,quarter_hourly,96,0,0,0.0,95.61,199.49,117.0,0
2026-01-22,quarter_hourly,96,0,0,0.0,82.08,148.0,105.28,0
2026-01-23,quarter_hourly,96,0,0,0.0,94.43,162.67,110.29,0
2026-01-24,quarter_hourly,96,0,0,0.0,94.7,148.95,111.96,0
2026-01-25,quarter_hourly,96,0,0,0.0,98.99,139.33,111.93,0
2026-01-26,quarter_hourly,96,0,0,0.0,93.64,200.03,141.31,0
2026-01-27,quarter_hourly,96,0,0,0.0,106.68,188.69,130.61,0
2026-01-28,quarter_hourly,96,0,0,0.0,100.4,188.34,136.83,0
2026-01-29,quarter_hourly,96,0,0,0.0,96.46,173.07,132.4,0
2026-01-30,quarter_hourly,96,0,0,0.0,89.56,152.99,113.69,0
2026-01-31,quarter_hourly,96,0,0,0.0,89.96,142.09,109.39,0
2026-02-01,quarter_hourly,96,0,0,0.0,92.93,141.96,108.59,0
2026-02-02,quarter_hourly,96,0,0,0.0,85.61,154.13,107.74,0
2026-02-03,quarter_hourly,96,0,0,0.0,76.02,132.6,98.48,0
2026-02-04,quarter_hourly,96,0,0,0.0,79.76,137.49,102.95,0
2026-02-05,quarter_hourly,96,0,0,0.0,86.46,151.31,110.54,0
2026-02-06,quarter_hourly,96,0,0,0.0,96.84,148.13,121.88,0
2026-02-07,quarter_hourly,96,0,0,0.0,90.06,140.53,107.52,0
2026-02-08,quarter_hourly,96,0,0,0.0,90.28,134.01,104.05,0
2026-02-09,quarter_hourly,96,0,0,0.0,93.42,244.77,139.28,0
2026-02-10,quarter_hourly,96,0,0,0.0,93.26,150.1,116.85,0
2026-02-11,quarter_hourly,96,0,0,0.0,88.7,141.0,112.54,0
2026-02-12,quarter_hourly,96,0,0,0.0,82.06,132.11,104.54,0
2026-02-13,quarter_hourly,96,0,0,0.0,81.18,144.63,106.84,0
2026-02-14,quarter_hourly,96,0,0,0.0,86.62,135.0,103.54,0
2026-02-15,quarter_hourly,96,0,0,0.0,37.07,107.51,84.24,0
2026-02-16,quarter_hourly,96,0,0,0.0,60.1,140.06,94.84,0
2026-02-17,quarter_hourly,96,0,0,0.0,79.0,134.14,97.58,0
2026-02-18,quarter_hourly,96,0,0,0.0,81.11,206.43,114.15,0
2026-02-19,quarter_hourly,96,0,0,0.0,74.09,123.65,92.94,0
2026-02-20,quarter_hourly,96,0,0,0.0,33.18,122.42,87.0,0
2026-02-21,quarter_hourly,96,0,0,0.0,24.94,109.72,62.51,0
2026-02-22,quarter_hourly,96,0,0,0.0,31.1,89.23,53.86,0
2026-02-23,quarter_hourly,96,0,0,0.0,1.07,113.67,68.06,0
2026-02-24,quarter_hourly,96,0,0,0.0,77.54,243.02,114.79,0
2026-02-25,quarter_hourly,96,0,0,0.0,45.03,145.8,93.66,0
2026-02-26,quarter_hourly,96,0,0,0.0,7.43,121.8,76.89,0
2026-02-27,quarter_hourly,96,9,2.25,9.38,-0.03,131.73,64.92,2
2026-02-28,quarter_hourly,96,14,3.5,14.58,-0.65,105.0,53.35,2
2026-03-01,quarter_hourly,96,14,3.5,14.58,-1.03,113.06,52.93,2
2026-03-02,quarter_hourly,96,0,0,0.0,14.89,292.36,92.86,0
2026-03-03,quarter_hourly,96,0,0,0.0,21.56,246.4,106.52,0
2026-03-04,quarter_hourly,96,0,0,0.0,25.12,429.36,147.4,0
2026-03-05,quarter_hourly,96,0,0,0.0,0.0,244.97,110.86,0
2026-03-06,quarter_hourly,96,0,0,0.0,45.71,248.91,123.8,0
2026-03-07,quarter_hourly,96,0,0,0.0,0.0,196.9,110.16,0
2026-03-08,quarter_hourly,96,2,0.5,2.08,-0.01,182.24,103.13,1
